method,aupr_rows,aupr_references,observed_aupr_median,aupr_ceiling_median,aupr_ratio_median,aupr_uplift_ratio_median,f1_rows,f1_references,observed_f1_median,f1_ceiling_median,f1_ratio_median,rank_observed_aupr,rank_aupr_ratio,rank_shift_aupr,rank_observed_f1,rank_f1_ratio,rank_shift_f1
probe_consensus,2,2,0.00015934463523014568,0.12879347960172627,0.0016556633361923799,-0.00010531862095678219,15,5,5.4581960662001206e-05,0.27441435959841803,5.49028574438362e-05,1.0,1.0,0.0,1.0,1.0,0.0
probe_perturbation,2,2,0.00014455559160988132,0.12879347960172627,0.0015001710933978285,-0.0002613470944483895,15,5,3.927791481405835e-05,0.27441435959841803,3.9508836464877596e-05,3.0,2.0,-1.0,4.0,4.0,0.0
probe_integrated_gradients,2,2,0.00014516250912222385,0.12879347960172627,0.0014882559907809009,-0.000273390187079129,15,5,3.92765263840066e-05,0.27441435959841803,3.9507439872005566e-05,2.0,3.0,1.0,5.0,5.0,0.0
probe_grad_input,2,2,0.00014285038070842865,0.12879347960172627,0.001482242497285381,-0.00027933751904538306,15,5,3.9280691968669725e-05,0.27441435959841803,3.9511629946860987e-05,4.0,4.0,0.0,3.0,3.0,0.0
probe_attention,2,2,0.000122129038829596,0.12879347960172627,0.0012643783767137336,-0.0004979529641237036,15,5,4.678453771028675e-05,0.27441435959841803,4.705959209471674e-05,5.0,5.0,0.0,2.0,2.0,0.0
attention_inferred,2,2,0.00012196441606193337,0.12879347960172627,0.001262647425083406,-0.0004996898856151334,15,5,0.0,0.27441435959841803,0.0,6.0,6.0,0.0,6.0,6.0,0.0
grnboost2,3,3,3.0151337497466787e-06,0.7536500951164481,4.000707714739695e-06,-8.178753893644368e-07,3,3,0.0,0.8539325842696629,0.0,7.0,7.0,0.0,6.0,6.0,0.0
genie3,3,3,3.015093128955917e-06,0.7536500951164481,4.000653815999384e-06,-8.178670390032661e-07,3,3,0.0,0.8539325842696629,0.0,8.0,8.0,0.0,6.0,6.0,0.0
scenic_grnboost2,3,3,3.0148447640771995e-06,0.7536500951164481,4.000324266676261e-06,-2.9035587024465227e-06,3,3,0.0,0.8539325842696629,0.0,9.0,9.0,0.0,6.0,6.0,0.0
scenic_pruned,3,3,3.014751626104746e-06,0.7536500951164481,4.000200684163558e-06,-2.903682285812428e-06,3,3,0.0,0.8539325842696629,0.0,10.0,10.0,0.0,6.0,6.0,0.0
pidc_full,3,3,3.014724826426898e-06,0.7536500951164481,4.000165124322165e-06,-2.9037178458993233e-06,3,3,0.0,0.8539325842696629,0.0,11.0,11.0,0.0,6.0,6.0,0.0
pidc_proxy,3,3,3.014717318258888e-06,0.7536500951164481,4.000155161916456e-06,-2.9037278083738116e-06,3,3,0.0,0.8539325842696629,0.0,12.0,12.0,0.0,6.0,6.0,0.0
spearman,3,3,3.0143920724455973e-06,0.7536500951164481,3.9997236011492e-06,-2.904159372120524e-06,3,3,0.0,0.8539325842696629,0.0,13.0,13.0,0.0,6.0,6.0,0.0
pearson,3,3,3.014392064481389e-06,0.7536500951164481,3.999723590581686e-06,-2.9041593826881113e-06,3,3,0.0,0.8539325842696629,0.0,14.0,14.0,0.0,6.0,6.0,0.0
random,3,3,3.0137961912244524e-06,0.7536500951164481,3.998932940834811e-06,-2.9049500378935622e-06,3,3,0.0,0.8539325842696629,0.0,15.0,15.0,0.0,6.0,6.0,0.0
