c,t,trials,precision_obs_mean,precision_theory,recall_obs_mean,f1_obs_mean,f1_theory,aupr_obs_mean,aupr_theory,f1_abs_error_mean,aupr_abs_error_mean,f1_bias,aupr_bias,f1_bias_abs,aupr_bias_abs
0.05,50,457,0.053741794310722096,0.05,1.0,0.1006440757408818,0.09523809523809523,0.1272440017122527,0.13548490140293057,0.041328782547354594,0.08732540042809632,0.005405980502786567,-0.008240899690677872,0.005405980502786567,0.008240899690677872
0.05,200,500,0.04911,0.05,1.0,0.09325887850230294,0.09523809523809523,0.07196714747287321,0.07792064700355214,0.020749184276814388,0.030243259046795975,-0.001979216735792294,-0.005953499530678932,0.001979216735792294,0.005953499530678932
0.05,1000,500,0.050316,0.05,1.0,0.09573303952627546,0.09523809523809523,0.057338474859065174,0.05711119731752282,0.00986300967179805,0.010212700358081967,0.0004949442881802268,0.00022727754154235058,0.0004949442881802268,0.00022727754154235058
0.05,5000,500,0.049826,0.05,1.0,0.09490533133111846,0.09523809523809523,0.05125537042851967,0.05172795668206705,0.0045132703385073235,0.0036646914696510094,-0.0003327639069767713,-0.0004725862535473746,0.0003327639069767713,0.0004725862535473746
0.1,50,493,0.10073022312373225,0.1,1.0,0.1803039810548531,0.18181818181818182,0.15557064384763983,0.18098569606593423,0.055873330334954244,0.07892909645527209,-0.0015142007633287269,-0.025415052218294404,0.0015142007633287269,0.025415052218294404
0.1,200,500,0.10101,0.1,1.0,0.1828580213072033,0.18181818181818182,0.12348570821664837,0.12645113926652307,0.026167481176169422,0.029327444296460337,0.0010398394890214768,-0.002965431049874706,0.0010398394890214768,0.002965431049874706
0.1,1000,500,0.099522,0.1,1.0,0.1808884362141267,0.18181818181818182,0.10488016695725393,0.10673692377449531,0.012572550904079362,0.012370997914911055,-0.0009297456040551211,-0.0018567568172413867,0.0009297456040551211,0.0018567568172413867
0.1,5000,500,0.099952,0.1,1.0,0.18171161518217846,0.18181818181818182,0.1014683541054588,0.1016370115935372,0.005629530246024519,0.004819262611648593,-0.00010656663600336347,-0.00016865748807839975,0.00010656663600336347,0.00016865748807839975
0.2,50,500,0.19668,0.2,1.0,0.32473004298772296,0.33333333333333337,0.2545028372741737,0.27198728539194156,0.06395967130379297,0.07796360523767053,-0.008603290345610415,-0.017484448117767837,0.008603290345610415,0.017484448117767837
0.2,200,500,0.19982,0.2,1.0,0.3321664568635358,0.33333333333333337,0.21964309905742277,0.22351212379246496,0.03154735821841508,0.03428664628700804,-0.001166876469797573,-0.0038690247350421925,0.001166876469797573,0.0038690247350421925
0.2,1000,500,0.19891,0.2,1.0,0.33163029711238773,0.33333333333333337,0.20433627017460004,0.20598837668844028,0.014083942008625694,0.014466465267828452,-0.0017030362209456418,-0.0016521065138402347,0.0017030362209456418,0.0016521065138402347
0.2,5000,500,0.2001576,0.2,1.0,0.33351643758230254,0.33333333333333337,0.20140249446018635,0.20145512141647753,0.006188123164217731,0.006648238489911867,0.0001831042489691681,-5.262695629118519e-05,0.0001831042489691681,5.262695629118519e-05
0.4,50,500,0.3958,0.4,1.0,0.5633381158449938,0.5714285714285715,0.43490073046553746,0.45399046404395615,0.05843231386699045,0.08449847734267463,-0.008090455583577683,-0.0190897335784187,0.008090455583577683,0.0190897335784187
0.4,200,500,0.39924,0.4,1.0,0.5697413018682913,0.5714285714285715,0.4121610953891094,0.41763409284434877,0.027965713095098797,0.038953316640081885,-0.0016872695602802024,-0.005472997455239381,0.0016872695602802024,0.005472997455239381
